2019-12-06 09:42:48.703| main | INFO |  -  | Starting SpringShiroApplication on kingdeMacBook-Air.local with PID 1304 (/Users/king/workspace/spring-shiro/target/classes started by king in /Users/king/workspace/spring-shiro) | [org.springframework.boot.StartupInfoLogger:50]
2019-12-06 09:42:48.730| main | DEBUG |  -  | Running with Spring Boot v2.1.8.RELEASE, Spring v5.1.9.RELEASE | [org.springframework.boot.StartupInfoLogger:53]
2019-12-06 09:42:48.732| main | INFO |  -  | No active profile set, falling back to default profiles: default | [org.springframework.boot.SpringApplication:648]
2019-12-06 09:42:50.746| main | INFO |  -  | Multiple Spring Data modules found, entering strict repository configuration mode! | [org.springframework.data.repository.config.RepositoryConfigurationDelegate:244]
2019-12-06 09:42:50.747| main | INFO |  -  | Bootstrapping Spring Data repositories in DEFAULT mode. | [org.springframework.data.repository.config.RepositoryConfigurationDelegate:126]
2019-12-06 09:42:50.932| main | INFO |  -  | Finished Spring Data repository scanning in 153ms. Found 1 repository interfaces. | [org.springframework.data.repository.config.RepositoryConfigurationDelegate:182]
2019-12-06 09:42:51.449| main | INFO |  -  | Multiple Spring Data modules found, entering strict repository configuration mode! | [org.springframework.data.repository.config.RepositoryConfigurationDelegate:244]
2019-12-06 09:42:51.454| main | INFO |  -  | Bootstrapping Spring Data repositories in DEFAULT mode. | [org.springframework.data.repository.config.RepositoryConfigurationDelegate:126]
2019-12-06 09:42:51.510| main | INFO |  -  | Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.spring.shiro.demo.repository.SUserRepo. | [org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:363]
2019-12-06 09:42:51.510| main | INFO |  -  | Finished Spring Data repository scanning in 23ms. Found 0 repository interfaces. | [org.springframework.data.repository.config.RepositoryConfigurationDelegate:182]
2019-12-06 09:42:52.073| main | INFO |  -  | Bean 'org.apache.shiro.spring.boot.autoconfigure.ShiroBeanAutoConfiguration' of type [org.apache.shiro.spring.boot.autoconfigure.ShiroBeanAutoConfiguration$$EnhancerBySpringCGLIB$$cd7052ab] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) | [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330]
2019-12-06 09:42:52.100| main | INFO |  -  | Bean 'shiroConfig' of type [com.spring.shiro.demo.config.ShiroConfig$$EnhancerBySpringCGLIB$$c7370861] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) | [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330]
2019-12-06 09:42:52.550| main | INFO |  -  | Bean '(inner bean)#19fd43da' of type [org.springframework.beans.factory.config.PropertiesFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) | [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330]
2019-12-06 09:42:52.551| main | INFO |  -  | Bean '(inner bean)#19fd43da' of type [java.util.Properties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) | [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330]
